Component,Origin,License
core,"github.com/frapposelli/wwhrd",MIT
core,cloud.google.com/go/compute/metadata,Apache-2.0
core,github.com/Azure/go-autorest/autorest,Apache-2.0
core,github.com/Azure/go-autorest/autorest/adal,Apache-2.0
core,github.com/Azure/go-autorest/autorest/azure,Apache-2.0
core,github.com/Azure/go-autorest/autorest/date,Apache-2.0
core,github.com/Azure/go-autorest/logger,Apache-2.0
core,github.com/Azure/go-autorest/tracing,Apache-2.0
core,github.com/PuerkitoBio/purell,BSD-3-Clause
core,github.com/PuerkitoBio/urlesc,BSD-3-Clause
core,github.com/alecthomas/template,BSD-3-Clause
core,github.com/alecthomas/template/parse,BSD-3-Clause
core,github.com/alecthomas/units,MIT
core,github.com/beorn7/perks/quantile,MIT
core,github.com/coreos/prometheus-operator/pkg/apis/monitoring,Apache-2.0
core,github.com/coreos/prometheus-operator/pkg/apis/monitoring/v1,Apache-2.0
core,github.com/coreos/prometheus-operator/pkg/client/versioned/scheme,Apache-2.0
core,github.com/coreos/prometheus-operator/pkg/client/versioned/typed/monitoring/v1,Apache-2.0
core,github.com/davecgh/go-spew/spew,ISC
core,github.com/dgrijalva/jwt-go,MIT
core,github.com/emicklei/go-restful,MIT
core,github.com/emicklei/go-restful/log,MIT
core,github.com/evanphx/json-patch,BSD-3-Clause
core,github.com/ghodss/yaml,MIT
core,github.com/go-logr/logr,Apache-2.0
core,github.com/go-logr/zapr,Apache-2.0
core,github.com/go-openapi/jsonpointer,Apache-2.0
core,github.com/go-openapi/jsonreference,Apache-2.0
core,github.com/go-openapi/spec,Apache-2.0
core,github.com/go-openapi/swag,Apache-2.0
core,github.com/gobuffalo/envy,MIT
core,github.com/gobuffalo/flect,MIT
core,github.com/gogo/protobuf/proto,BSD-3-Clause
core,github.com/gogo/protobuf/sortkeys,BSD-3-Clause
core,github.com/golang/glog,Apache-2.0
core,github.com/golang/groupcache/lru,Apache-2.0
core,github.com/golang/protobuf/proto,BSD-3-Clause
core,github.com/golang/protobuf/ptypes,BSD-3-Clause
core,github.com/golang/protobuf/ptypes/any,BSD-3-Clause
core,github.com/golang/protobuf/ptypes/duration,BSD-3-Clause
core,github.com/golang/protobuf/ptypes/timestamp,BSD-3-Clause
core,github.com/google/go-cmp/cmp,BSD-3-Clause
core,github.com/google/go-cmp/cmp/internal/diff,BSD-3-Clause
core,github.com/google/go-cmp/cmp/internal/flags,BSD-3-Clause
core,github.com/google/go-cmp/cmp/internal/function,BSD-3-Clause
core,github.com/google/go-cmp/cmp/internal/value,BSD-3-Clause
core,github.com/google/gofuzz,Apache-2.0
core,github.com/google/uuid,BSD-3-Clause
core,github.com/googleapis/gnostic/OpenAPIv2,Apache-2.0
core,github.com/googleapis/gnostic/compiler,Apache-2.0
core,github.com/googleapis/gnostic/extensions,Apache-2.0
core,github.com/gophercloud/gophercloud,Apache-2.0
core,github.com/gophercloud/gophercloud/openstack,Apache-2.0
core,github.com/gophercloud/gophercloud/openstack/identity/v2/tenants,Apache-2.0
core,github.com/gophercloud/gophercloud/openstack/identity/v2/tokens,Apache-2.0
core,github.com/gophercloud/gophercloud/openstack/identity/v3/tokens,Apache-2.0
core,github.com/gophercloud/gophercloud/openstack/utils,Apache-2.0
core,github.com/gophercloud/gophercloud/pagination,Apache-2.0
core,github.com/hashicorp/golang-lru,MPL-2.0
core,github.com/hashicorp/golang-lru/simplelru,MPL-2.0
core,github.com/imdario/mergo,BSD-3-Clause
core,github.com/inconshreveable/mousetrap,Apache-2.0
core,github.com/joho/godotenv,MIT
core,github.com/json-iterator/go,MIT
core,github.com/konsorten/go-windows-terminal-sequences,MIT
core,github.com/magiconair/properties/assert,FreeBSD
core,github.com/mailru/easyjson/buffer,MIT
core,github.com/mailru/easyjson/jlexer,MIT
core,github.com/mailru/easyjson/jwriter,MIT
core,github.com/markbates/inflect,MIT
core,github.com/matttproud/golang_protobuf_extensions/pbutil,Apache-2.0
core,github.com/mitchellh/go-homedir,MIT
core,github.com/modern-go/concurrent,Apache-2.0
core,github.com/modern-go/reflect2,Apache-2.0
core,github.com/operator-framework/operator-sdk/internal/pkg/scaffold,Apache-2.0
core,github.com/operator-framework/operator-sdk/internal/pkg/scaffold/input,Apache-2.0
core,github.com/operator-framework/operator-sdk/internal/pkg/scaffold/internal/deps,Apache-2.0
core,github.com/operator-framework/operator-sdk/internal/util/fileutil,Apache-2.0
core,github.com/operator-framework/operator-sdk/internal/util/k8sutil,Apache-2.0
core,github.com/operator-framework/operator-sdk/internal/util/projutil,Apache-2.0
core,github.com/operator-framework/operator-sdk/internal/util/yamlutil,Apache-2.0
core,github.com/operator-framework/operator-sdk/pkg/k8sutil,Apache-2.0
core,github.com/operator-framework/operator-sdk/pkg/leader,Apache-2.0
core,github.com/operator-framework/operator-sdk/pkg/log/zap,Apache-2.0
core,github.com/operator-framework/operator-sdk/pkg/metrics,Apache-2.0
core,github.com/operator-framework/operator-sdk/pkg/restmapper,Apache-2.0
core,github.com/operator-framework/operator-sdk/pkg/test,Apache-2.0
core,github.com/operator-framework/operator-sdk/pkg/test/e2eutil,Apache-2.0
core,github.com/operator-framework/operator-sdk/version,Apache-2.0
core,github.com/pkg/errors,FreeBSD
core,github.com/pmezard/go-difflib/difflib,FreeBSD
core,github.com/prometheus/client_golang/prometheus,Apache-2.0
core,github.com/prometheus/client_golang/prometheus/internal,Apache-2.0
core,github.com/prometheus/client_golang/prometheus/promhttp,Apache-2.0
core,github.com/prometheus/client_model/go,Apache-2.0
core,github.com/prometheus/common/expfmt,Apache-2.0
core,github.com/prometheus/common/internal/bitbucket.org/ww/goautoneg,Apache-2.0
core,github.com/prometheus/common/log,Apache-2.0
core,github.com/prometheus/common/model,Apache-2.0
core,github.com/prometheus/procfs,Apache-2.0
core,github.com/prometheus/procfs/internal/fs,Apache-2.0
core,github.com/rogpeppe/go-internal/modfile,BSD-3-Clause
core,github.com/rogpeppe/go-internal/module,BSD-3-Clause
core,github.com/rogpeppe/go-internal/semver,BSD-3-Clause
core,github.com/sirupsen/logrus,MIT
core,github.com/spf13/afero,Apache-2.0
core,github.com/spf13/afero/mem,Apache-2.0
core,github.com/spf13/cobra,Apache-2.0
core,github.com/spf13/pflag,BSD-3-Clause
core,github.com/stretchr/testify/assert,MIT
core,github.com/stretchr/testify/require,MIT
core,go.uber.org/atomic,MIT
core,go.uber.org/multierr,MIT
core,go.uber.org/zap,MIT
